Question2.Answer,Question3.Answer,Question2.Correct,Question3.Correct
b,a,Yes,Yes
a,b,No,No
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
a,d,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,b,Yes,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,b,Yes,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
d,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
d,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,d,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
d,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
a,b,No,No
b,a,Yes,Yes
b,c,Yes,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
c,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
a,b,No,No
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
a,b,No,No
a,b,No,No
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,b,Yes,No
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,b,Yes,No
b,a,Yes,Yes
b,a,Yes,Yes
c,c,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
d,a,No,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
d,a,No,Yes
a,b,No,No
b,a,Yes,Yes
a,c,No,No
b,a,Yes,Yes
b,d,Yes,No
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
a,b,No,No
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,b,Yes,No
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
c,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,b,Yes,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
d,d,No,No
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
d,a,No,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
c,a,No,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
a,b,No,No
b,d,Yes,No
b,a,Yes,Yes
d,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,b,Yes,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,b,Yes,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,c,Yes,No
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
c,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
d,a,No,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
a,b,No,No
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
b,a,Yes,Yes
