"Siskel","Ebert"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Up"
"Up","Mixed"
"Up","Mixed"
"Up","Mixed"
"Up","Mixed"
"Up","Mixed"
"Up","Mixed"
"Up","Mixed"
"Up","Mixed"
"Up","Down"
"Up","Down"
"Up","Down"
"Up","Down"
"Up","Down"
"Up","Down"
"Up","Down"
"Up","Down"
"Up","Down"
"Up","Down"
"Up","Down"
"Up","Down"
"Up","Down"
"Mixed","Up"
"Mixed","Up"
"Mixed","Up"
"Mixed","Up"
"Mixed","Up"
"Mixed","Up"
"Mixed","Up"
"Mixed","Up"
"Mixed","Mixed"
"Mixed","Mixed"
"Mixed","Mixed"
"Mixed","Mixed"
"Mixed","Mixed"
"Mixed","Mixed"
"Mixed","Mixed"
"Mixed","Mixed"
"Mixed","Mixed"
"Mixed","Mixed"
"Mixed","Mixed"
"Mixed","Mixed"
"Mixed","Mixed"
"Mixed","Down"
"Mixed","Down"
"Mixed","Down"
"Mixed","Down"
"Mixed","Down"
"Mixed","Down"
"Mixed","Down"
"Mixed","Down"
"Mixed","Down"
"Mixed","Down"
"Mixed","Down"
"Down","Up"
"Down","Up"
"Down","Up"
"Down","Up"
"Down","Up"
"Down","Up"
"Down","Up"
"Down","Up"
"Down","Up"
"Down","Up"
"Down","Mixed"
"Down","Mixed"
"Down","Mixed"
"Down","Mixed"
"Down","Mixed"
"Down","Mixed"
"Down","Mixed"
"Down","Mixed"
"Down","Mixed"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
"Down","Down"
