Judge 1,Judge 2
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Authoritarian
Authoritarian,Democratic
Authoritarian,Democratic
Authoritarian,Democratic
Authoritarian,Democratic
Authoritarian,Permissive
Authoritarian,Permissive
Authoritarian,Permissive
Authoritarian,Permissive
Authoritarian,Permissive
Authoritarian,Permissive
Authoritarian,Permissive
Authoritarian,Permissive
Democratic,Authoritarian
Democratic,Authoritarian
Democratic,Authoritarian
Democratic,Authoritarian
Democratic,Authoritarian
Democratic,Democratic
Democratic,Democratic
Democratic,Democratic
Democratic,Democratic
Democratic,Democratic
Democratic,Democratic
Democratic,Democratic
Democratic,Democratic
Democratic,Democratic
Democratic,Democratic
Democratic,Democratic
Democratic,Democratic
Permissive,Authoritarian
Permissive,Authoritarian
Permissive,Authoritarian
Permissive,Authoritarian
Permissive,Authoritarian
Permissive,Authoritarian
Permissive,Authoritarian
Permissive,Authoritarian
Permissive,Authoritarian
Permissive,Authoritarian
Permissive,Democratic
Permissive,Democratic
Permissive,Democratic
Permissive,Permissive
Permissive,Permissive
Permissive,Permissive
Permissive,Permissive
Permissive,Permissive
Permissive,Permissive
Permissive,Permissive
Permissive,Permissive
Permissive,Permissive
Permissive,Permissive
Permissive,Permissive
Permissive,Permissive
Permissive,Permissive
